date,WaterLevel,Discharge,WaterTemperature,EC,Humidity,WindDir,AirTemp,WindSpeed
30/5/2021 13:30,30.904,6000.21,13,117.5,39,40,13.9,9.4
30/5/2021 14:00,30.901,6083.03,12.8,117.1,38,360,14.5,5.4
30/5/2021 14:30,30.901,6171.11,12.8,117.1,35,10,14.9,9.4
30/5/2021 15:00,30.9,5992.14,12.8,117.8,35,40,14.8,9.4
30/5/2021 15:30,30.897,6028.68,12.8,117.4,34,30,15.1,9.4
30/5/2021 16:00,30.898,5988.05,12.8,117.7,33,20,15.4,5.4
30/5/2021 16:30,30.895,6068.43,12.8,117.7,34,60,15,7.6
30/5/2021 17:00,30.897,6074.16,12.8,117.7,36,70,14.4,5.4
30/5/2021 17:30,30.895,5717.07,12.7,117.7,45,0,11.5,0
30/5/2021 18:00,30.896,5761.35,12.7,117.7,53,0,9.4,0
30/5/2021 18:30,30.896,5983.82,12.7,117.7,56,210,8.3,1.8
30/5/2021 19:00,30.896,6026.27,12.7,117.7,61,0,7.1,0
30/5/2021 19:30,30.893,6064.69,12.6,117.3,64,0,6.5,0
30/5/2021 20:00,30.894,5890.38,12.6,117,66,0,5.8,0
30/5/2021 20:30,30.889,6055.98,12.5,117.4,69,0,5.1,0
30/5/2021 21:00,30.893,5756.56,12.5,117.4,73,0,4.3,0
30/5/2021 21:30,30.893,5843.26,12.5,117.4,75,0,3.4,0
30/5/2021 22:00,30.893,5843.53,12.5,117.1,78,0,2.9,0
30/5/2021 22:30,30.893,5931.7,12.5,117.1,80,0,2.2,0
30/5/2021 23:00,30.89,5882.63,12.4,116.8,80,0,2.7,0
30/5/2021 23:30,30.892,5798.04,12.4,116.8,82,0,2.1,0
31/5/2021 0:00,30.891,5708.26,12.4,116.8,84,0,1.9,0
31/5/2021 0:30,30.89,5748.65,12.4,116.8,86,0,1.4,0
31/5/2021 1:00,30.891,5576.21,12.3,116.8,89,80,1.4,7.6
31/5/2021 1:30,30.889,5791.43,12.3,116.9,88,80,2.3,9.4
31/5/2021 2:00,30.888,5966.15,12.3,116.9,76,80,2.8,11.2
31/5/2021 2:30,30.888,5524.24,12.3,116.9,73,80,3.4,11.2
31/5/2021 3:00,30.887,5830.74,12.3,116.6,74,70,2.8,11.2
31/5/2021 3:30,30.888,5834.32,12.2,116.2,72,50,3.5,9.4
31/5/2021 4:00,30.887,5654.7,12.2,116.6,69,50,3.3,9.4
31/5/2021 4:30,30.885,5607.1,12.2,116.6,74,360,1.8,3.6
31/5/2021 5:00,30.888,5790.31,12.2,116.6,77,280,1.3,9.4
31/5/2021 5:30,30.888,5658.26,12.2,116.6,80,270,0.3,7.6
31/5/2021 6:00,30.889,5746.54,12.2,116.6,84,0,-0.5,0
31/5/2021 6:30,30.885,5785.69,12.2,116.6,86,0,-0.8,0
31/5/2021 7:00,30.885,5830.01,12.1,116.6,88,70,-1,1.8
31/5/2021 7:30,30.882,5603.04,12.1,116.6,88,80,-0.1,9.4
31/5/2021 8:00,30.882,5734.91,12.1,117,82,90,0.8,1.8
31/5/2021 8:30,30.882,5690.83,12.2,117.3,80,0,2.7,0
31/5/2021 9:00,30.874,5717.16,12.3,117.3,64,340,5.7,1.8
31/5/2021 9:30,30.864,4779.33,12.4,117.6,62,10,7.1,9.4
31/5/2021 10:00,30.859,4685.2,12.6,116.6,55,10,8.6,11.2
31/5/2021 10:30,30.857,4680.39,12.7,117.5,48,20,10.5,11.2
31/5/2021 11:00,30.854,4762.9,12.8,116.8,40,20,12.7,11.2
31/5/2021 11:30,30.858,4726.55,12.8,117.5,35,30,13.6,13
31/5/2021 12:00,30.856,5028.34,12.9,117.6,33,40,14.4,13
31/5/2021 12:30,30.858,4812.96,12.7,117.9,28,20,15,16.6
31/5/2021 13:00,30.853,4762.03,12.7,116.9,26,10,16.2,14.8
31/5/2021 13:30,30.853,4848.65,12.7,116.8,22,10,16.7,14.8
31/5/2021 14:00,30.857,4811.03,12.7,117.8,22,350,16.8,13
